"date","beat_start_time","consumption_kWh"
"26/12/2023","17:45",.223
"26/12/2023","18:00",.56
"26/12/2023","18:15",1.39
"26/12/2023","18:30",1.06
"26/12/2023","18:45",1.123
"26/12/2023","19:00",1.215
"26/12/2023","19:15",.829
"26/12/2023","19:30",.812
"26/12/2023","19:45",.82
"26/12/2023","20:00",.842
"26/12/2023","20:15",.19
"26/12/2023","20:30",.141
"26/12/2023","20:45",.139
"26/12/2023","21:00",.247
"26/12/2023","21:15",1.217
"26/12/2023","21:30",.835
"26/12/2023","21:45",.341
"26/12/2023","22:00",.092
"26/12/2023","22:15",.056
"26/12/2023","22:30",.091
"26/12/2023","22:45",.074
"26/12/2023","23:00",.062
"26/12/2023","23:15",.057
"26/12/2023","23:30",.069
"26/12/2023","23:45",.408
"27/12/2023","00:00",.075
"27/12/2023","00:15",.065
"27/12/2023","00:30",.072
"27/12/2023","00:45",.249
"27/12/2023","01:00",.367
"27/12/2023","01:15",.059
"27/12/2023","01:30",.043
"27/12/2023","01:45",.053
"27/12/2023","02:00",.051
"27/12/2023","02:15",.045
"27/12/2023","02:30",.042
"27/12/2023","02:45",.051
"27/12/2023","03:00",.051
"27/12/2023","03:15",.045
"27/12/2023","03:30",.039
"27/12/2023","03:45",.05
"27/12/2023","04:00",.054
"27/12/2023","04:15",.061
"27/12/2023","04:30",.036
"27/12/2023","04:45",.049
"27/12/2023","05:00",.05
"27/12/2023","05:15",.048
"27/12/2023","05:30",.037
"27/12/2023","05:45",.051
"27/12/2023","06:00",.071
"27/12/2023","06:15",.778
"27/12/2023","06:30",.789
"27/12/2023","06:45",.2
"27/12/2023","07:00",.13
"27/12/2023","07:15",.143
"27/12/2023","07:30",.165
"27/12/2023","07:45",.089
"27/12/2023","08:00",.046
"27/12/2023","08:15",.049
"27/12/2023","08:30",.049
"27/12/2023","08:45",.041
"27/12/2023","09:00",.047
"27/12/2023","09:15",.052
"27/12/2023","09:30",.096
"27/12/2023","09:45",.057
"27/12/2023","10:00",.062
"27/12/2023","10:15",.081
"27/12/2023","10:30",.062
"27/12/2023","10:45",.556
"27/12/2023","11:00",.593
"27/12/2023","11:15",.068
"27/12/2023","11:30",.063
"27/12/2023","11:45",.074
"27/12/2023","12:00",.046
"27/12/2023","12:15",.041
"27/12/2023","12:30",.049
"27/12/2023","12:45",.045
"27/12/2023","13:00",.036
"27/12/2023","13:15",.043
"27/12/2023","13:30",.055
"27/12/2023","13:45",.046
"27/12/2023","14:00",.189
"27/12/2023","14:15",.818
"27/12/2023","14:30",.901
"27/12/2023","14:45",.714
"27/12/2023","15:00",.522
"27/12/2023","15:15",.171
"27/12/2023","15:30",.151
"27/12/2023","15:45",.129
"27/12/2023","16:00",.104
"27/12/2023","16:15",.159
"27/12/2023","16:30",.787
"27/12/2023","16:45",.805
"27/12/2023","17:00",.814
"27/12/2023","17:15",.783
"27/12/2023","17:30",.786
"27/12/2023","17:45",.728
"27/12/2023","18:00",.204
"27/12/2023","18:15",.219
"27/12/2023","18:30",.107
"27/12/2023","18:45",.094
"27/12/2023","19:00",.085
"27/12/2023","19:15",.118
"27/12/2023","19:30",.095
"27/12/2023","19:45",.131
"27/12/2023","20:00",.108
"27/12/2023","20:15",.283
"27/12/2023","20:30",.116
"27/12/2023","20:45",.115
"27/12/2023","21:00",.116
"27/12/2023","21:15",.098
"27/12/2023","21:30",.11
"27/12/2023","21:45",.093
"27/12/2023","22:00",.088
"27/12/2023","22:15",.087
"27/12/2023","22:30",.082
"27/12/2023","22:45",.084
"27/12/2023","23:00",.083
"27/12/2023","23:15",.083
"27/12/2023","23:30",.082
"27/12/2023","23:45",.076
"28/12/2023","00:00",.311
"28/12/2023","00:15",.646
"28/12/2023","00:30",.88
"28/12/2023","00:45",.531
"28/12/2023","01:00",.505
"28/12/2023","01:15",.088
